name,x,y
1,-2935.22012155012,7501.404321623458
2,1846.5991310428317,6722.021079169896
3,-3249.0833514813135,3072.1231379921396
4,-1056.138928576784,2037.9754997946138
5,204.53956295004662,2080.189212666357
6,1814.817374661474,4696.890560210565
7,3287.37478083261,2059.082911747216
8,1836.0057510233767,1890.2269492283615
9,231.02462931995402,365.06144651262514
10,215.132942968353,-4.408256358020155
11,-1029.6538622057283,-131.08828113966
12,-3720.5138153419607,-152.20124825877951
13,-4790.500960423169,-6066.617402305663
14,-1368.659802373167,-1778.1452548156797
15,209.8362529591998,-1767.5859936728612
16,1836.0057510233767,159.21696105817233
17,1836.0057510233767,-447.79834239570124
18,3234.4046480904985,159.21696105817233
19,1841.30244103253,-1746.467471386435
20,1851.896629212907,-3330.5510736838837
21,252.21219752093444,-3869.2256035502505
22,231.02462931995402,-3383.360711799512
23,-1358.0664223537121,-3383.360711799512
24,-1220.3452086502018,-4682.598689875093
