name,x,y
1,536021.1,4340153.6
2,536629.8,4335982.4
3,537033.2,4338360.2
4,537309.0,4336749.9
5,536007.8,4336769.6
6,538904.2,4335587.6
7,538857.7,4337243.0
8,538450.2,4337196.7
9,538436.6,4336750.9
10,539120.5,4336752.4
11,539917.9,4337582.4
12,540383.8,4333182.2
13,539102.1,4339150.7
14,540512.1,4330358.1
15,540878.6,4333184.1
16,536027.3,4335131.7
17,540232.1,4334782.9
18,536079.4,4330543.1
19,536068.0,4332611.9
20,539853.5,4335582.3
21,537242.3,4333488.4
22,537021.2,4334382.9
23,536060.6,4334251.5
24,536066.8,4333650.7
25,536571.1,4333645.6
26,536487.1,4332969.3
27,535186.9,4335120.2
28,535279.2,4333977.7
29,536018.4,4335944.3
30,535207.4,4335765.2
31,534695.9,4335733.4
32,534635.4,4335157.1
33,540812.5,4335115.4
34,540808.6,4335583.0
35,541164.2,4335582.5
36,541162.3,4335934.2
37,541548.9,4335935.1
38,541537.6,4336324.5
39,541151.1,4336329.0
40,540802.6,4335931.8
41,540230.5,4335927.3
42,540237.4,4336741.4
43,540740.0,4336748.2
44,541244.6,4336751.7
45,541545.9,4336759.4
46,540727.3,4337558.7
47,538705.7,4335119.1
48,539008.5,4334713.7
49,538808.9,4334669.0
50,538832.4,4334167.6
51,539453.9,4334148.3
52,539857.3,4333944.9
53,539853.0,4334792.9
54,539848.2,4335365.2
55,537896.8,4334192.3
56,537994.6,4335119.9
57,539835.5,4330373.8
58,540918.9,4330358.6
59,540884.5,4331986.3
60,542497.8,4332017.6
61,541701.8,4331981.0
62,541633.1,4331392.4
63,540898.6,4331407.0
64,541694.2,4333173.1
65,541899.7,4333593.4
66,542472.6,4333596.5
67,543521.9,4331964.1
68,543351.9,4333588.3
69,543340.3,4335115.3
70,542462.5,4335115.2
71,543996.2,4333928.0
72,543401.8,4334120.4
73,542370.4,4335923.3
74,543999.8,4334600.2
75,543385.3,4334762.9
76,542462.0,4334767.1
77,544813.5,4335134.8
78,545601.5,4335149.1
79,544678.6,4336063.2
80,542995.1,4335944.8
81,543586.0,4335925.4
82,543627.1,4335125.7
83,543994.2,4335120.4
84,543551.3,4336400.2
85,542825.0,4336348.1
86,542559.1,4336846.7
87,541841.2,4335932.7
88,541778.0,4335118.4
89,542222.4,4330381.3
90,540872.9,4333596.0
91,540290.7,4333585.6
92,539904.7,4331979.8
93,537817.2,4330427.0
94,538996.9,4332008.3
95,539844.5,4333087.5
96,540454.7,4335146.5
97,540454.4,4335582.5
98,540345.5,4335928.1
99,540345.0,4335583.5
100,539859.0,4336103.5
101,538431.8,4336093.8
102,540523.4,4331973.9
103,536071.8,4332043.7
104,544893.1,4333570.4
105,545675.7,4333587.2
106,544876.4,4331986.8
107,544125.2,4330379.3
108,541239.9,4335119.7
109,541248.0,4333592.6
110,541242.8,4334403.1
111,542463.8,4334409.4
112,540859.2,4334398.9
113,540846.4,4334790.4
114,541784.4,4334401.6
115,539853.2,4335901.5
116,541483.8,4337520.1
117,540204.2,4337556.0
118,536008.0,4337998.9
119,539930.8,4336748.4
120,539852.8,4335148.1
121,536363.7,4335126.8
122,539123.4,4336099.8
123,540284.1,4335146.2
124,540288.4,4335368.7
125,540232.9,4336114.5
126,540617.3,4335147.6
127,540288.3,4334142.4
128,540619.8,4335361.9
129,540620.1,4335584.4
130,540620.5,4335932.6
131,540453.8,4335366.4
132,540613.3,4334788.4
133,541239.7,4334762.9
134,541781.9,4334764.8
135,543948.5,4333582.8
136,540864.0,4334150.9
137,540455.8,4334792.0
138,540451.7,4334147.0
139,540447.2,4333589.3
140,540452.0,4334451.3
141,539855.2,4334353.0
142,540739.8,4336410.5
143,540234.8,4336406.0
